"X1.04745931505517" "X0.712829416415242"
"1097" 0 -1
"1098" 0 0
"1099" -1 -1
"1100" -1 -1
"1101" 0 0
"1102" 1 1
"1103" 1 1
"1104" 1 1
"1105" 0 0
"1106" 1 1
"1107" 0 -1
"1108" 0 0
"1109" 1 1
"1110" -1 -1
"1111" 1 0
"1112" 1 1
"1113" 1 1
"1114" -1 -1
"1115" -1 -1
"1116" -1 -1
"1117" 1 1
"1118" 0 0
"1119" -1 -1
"1120" 0 0
"1121" -1 -1
"1122" 0 -1
"1123" 0 0
"1124" 0 0
"1125" 0 0
"1126" 0 0
"1127" 1 1
"1128" 0 0
"1129" 1 1
"1130" 0 -1
"1131" -1 -1
"1132" 0 0
"1133" 1 1
"1134" 0 0
"1135" 0 0
"1136" 0 0
"1137" -1 -1
"1138" -1 -1
"1139" 1 1
"1140" 0 0
"1141" 0 0
"1142" 0 0
"1143" 1 1
"1144" 1 1
"1145" 0 -1
"1146" 1 1
"1147" -1 -1
"1148" 0 0
"1149" 0 0
"1150" 1 1
"1151" 1 1
"1152" 1 1
"1153" 0 1
"1154" 1 1
"1155" 0 -1
"1156" 1 1
"1157" 1 1
"1158" 1 1
"1159" -1 -1
"1160" 0 0
"1161" 0 0
"1162" 1 1
"1163" 1 1
"1164" 1 1
"1165" 0 0
"1166" 0 0
"1167" 1 1
"1168" 1 1
"1169" 0 0
"1170" 1 1
"1171" 0 0
"1172" 0 0
"1173" -1 -1
"1174" 1 1
"1175" 0 0
"1176" 0 0
"1177" 1 1
"1178" 0 0
"1179" 0 0
"1180" 0 0
"1181" 0 0
"1182" 1 1
"1183" 1 1
"1184" 0 0
"1185" 1 1
"1186" 0 1
"1187" 1 1
"1188" 1 1
"1189" 1 1
"1190" 0 0
"1191" 0 0
"1192" 0 0
"1193" 0 0
"1194" 0 0
"1195" 1 1
"1196" 1 1
"1197" 0 0
"1198" 1 1
"1199" 1 0
"1200" 1 0
"1201" 1 0
"1202" 1 1
"1203" 0 0
"1204" 1 1
"1205" 0 0
"1206" 1 1
"1207" 1 1
"1208" 1 1
"1209" 1 1
"1210" 0 0
"1211" 0 0
"1212" 1 1
"1213" 1 1
"1214" 1 1
"1215" 0 0
"1216" 0 0
"1217" 1 1
"1218" 1 1
"1219" -1 -1
"1220" 0 0
"1221" 0 0
"1222" 1 1
"1223" 0 0
"1224" 0 0
"1225" 0 0
"1226" 0 0
"1227" 0 0
"1228" 0 0
"1229" -1 -1
"1230" 1 1
"1231" 1 1
"1232" 1 1
"1233" 1 0
"1234" 0 0
"1235" 1 1
"1236" 0 0
"1237" 1 1
"1238" 1 1
"1239" 0 0
"1240" 1 1
"1241" 1 1
"1242" 1 1
"1243" 0 0
"1244" 0 0
"1245" 1 1
"1246" 0 0
"1247" 1 1
"1248" 1 1
"1249" 1 1
"1250" 1 1
"1251" 1 1
"1252" 0 0
"1253" 0 -1
"1254" -1 -1
"1255" 1 1
"1256" 1 1
"1257" 1 1
"1258" 1 1
"1259" 1 1
"1260" 1 1
"1261" 1 1
"1262" 1 1
"1263" 1 1
"1264" 1 1
"1265" 1 1
"1266" 1 1
"1267" 1 1
"1268" 1 1
"1269" -1 -1
"1270" 1 1
"1271" 1 1
"1272" 1 1
"1273" 0 0
"1274" 1 1
"1275" 1 1
"1276" 0 0
"1277" 1 1
"1278" 1 1
"1279" 0 0
"1280" 0 0
"1281" 1 1
"1282" 1 1
"1283" 0 0
"1284" 1 1
"1285" -1 -1
"1286" 1 1
"1287" 1 1
"1288" 1 1
"1289" 0 -1
"1290" 1 1
"1291" 1 1
"1292" 0 0
"1293" 1 1
"1294" 1 1
"1295" 0 0
"1296" 1 1
"1297" 1 1
"1298" 1 1
"1299" -1 -1
"1300" -1 -1
"1301" 1 1
"1302" 0 0
"1303" 0 0
"1304" 1 1
"1305" 1 1
"1306" 0 0
"1307" 1 0
"1308" 0 -1
"1309" 0 0
"1310" 0 0
"1311" 1 1
"1312" 1 0
"1313" 1 1
"1314" -1 -1
"1315" 0 0
"1316" 0 0
"1317" 1 1
"1318" 0 0
"1319" 0 0
"1320" 1 1
"1321" 1 1
"1322" 1 1
"1323" 1 1
"1324" 1 1
"1325" 0 0
"1326" 1 1
"1327" 1 1
"1328" 0 0
"1329" -1 -1
"1330" 0 0
"1331" 0 0
"1332" 0 0
"1333" 1 1
"1334" 1 1
"1335" 0 -1
"1336" 1 1
"1337" 1 1
"1338" 0 0
"1339" 1 1
"1340" 0 0
"1341" 0 0
"1342" 0 0
"1343" 1 1
"1344" 0 0
"1345" 0 0
"1346" 1 1
"1347" -1 0
"1348" 1 1
"1349" 0 0
"1350" -1 -1
"1351" 0 -1
"1352" -1 -1
"1353" -1 -1
"1354" -1 -1
"1355" 0 0
"1356" 0 0
"1357" 1 1
"1358" 0 1
"1359" -1 -1
"1360" 0 0
"1361" 1 1
"1362" 1 1
"1363" 0 0
"1364" 1 1
"1365" 1 1
"1366" 0 0
"1367" 0 0
"1368" 1 1
"1369" 0 0
"1370" 0 0
"1371" 1 1
"1372" 0 0
"1373" 1 1
"1374" 0 0
"1375" 1 1
"1376" 1 1
"1377" 1 1
"1378" -1 -1
"1379" 0 0
"1380" 0 0
"1381" -1 -1
"1382" 0 0
"1383" 0 0
"1384" 0 0
"1385" 0 0
"1386" 1 1
"1387" -1 -1
"1388" 0 0
"1389" 1 1
"1390" 0 0
"1391" 1 1
"1392" 1 1
"1393" 0 0
"1394" 1 1
"1395" 1 1
"1396" 1 1
"1397" 0 0
"1398" 1 0
"1399" 0 0
"1400" 1 1
"1401" 0 0
"1402" 1 1
"1403" 1 1
"1404" 0 0
"1405" 0 0
"1406" 0 0
"1407" 0 0
"1408" 1 1
"1409" 1 1
"1410" 0 0
"1411" 1 1
"1412" 1 1
"1413" 1 1
"1414" 1 1
"1415" -1 -1
"1416" -1 -1
"1417" -1 -1
"1418" -1 -1
"1419" -1 -1
"1420" 0 0
"1421" 1 1
"1422" 1 1
"1423" 1 1
"1424" 1 1
"1425" 1 1
"1426" 0 0
"1427" 0 0
"1428" 1 1
"1429" 0 0
"1430" 0 0
"1431" 1 1
"1432" -1 -1
"1433" 0 0
"1434" 0 0
"1435" 1 1
"1436" 0 0
"1437" -1 -1
"1438" -1 -1
"1439" -1 -1
"1440" 0 0
"1441" 1 1
"1442" 0 0
"1443" 0 0
"1444" 0 0
"1445" 0 0
"1446" 1 1
"1447" 0 0
"1448" 1 1
"1449" 1 1
"1450" 0 0
"1451" 0 0
"1452" 0 0
"1453" 1 1
"1454" 1 1
"1455" 0 0
"1456" 0 0
"1457" 1 1
"1458" 1 0
"1459" 1 1
"1460" 1 1
"1461" 0 0
"1462" 0 0
"1463" 1 1
"1464" 1 1
"1465" 1 1
"1466" 1 1
"1467" 1 1
"1468" 0 0
"1469" -1 -1
"1470" 1 1
"1471" 1 1
"1472" 1 1
"1473" 1 0
"1474" 0 0
"1475" 0 0
"1476" 1 1
"1477" 0 0
"1478" 0 0
"1479" 1 1
"1480" 1 0
"1481" 1 1
"1482" 0 0
"1483" 1 1
"1484" 0 0
"1485" 0 0
"1486" 0 0
"1487" 1 1
"1488" 0 0
"1489" 0 0
"1490" 0 0
"1491" 1 1
"1492" -1 -1
"1493" 0 -1
"1494" 1 1
"1495" -1 -1
"1496" 0 0
"1497" 1 1
"1498" 0 0
"1499" 1 1
"1500" 1 1
"1501" 1 1
"1502" 1 1
"1503" 0 0
"1504" 1 1
"1505" 0 0
"1506" 0 0
"1507" 0 0
"1508" 0 0
"1509" -1 -1
"1510" 1 1
"1511" 0 0
"1512" 0 0
"1513" 1 1
"1514" -1 0
"1515" -1 -1
"1516" 1 1
"1517" 0 0
"1518" 0 0
"1519" 0 0
"1520" 0 0
"1521" 0 0
"1522" 0 0
"1523" 0 0
"1524" 1 1
"1525" 1 1
"1526" -1 -1
"1527" 0 0
"1528" 0 0
"1529" 1 1
"1530" 1 1
"1531" 0 0
"1532" 0 1
"1533" -1 -1
"1534" 0 0
"1535" 0 0
"1536" 0 0
"1537" 1 1
"1538" -1 -1
"1539" 1 1
"1540" 1 1
"1541" 1 1
"1542" 1 1
"1543" 1 1
"1544" 0 0
"1545" -1 -1
"1546" 0 0
"1547" 1 1
"1548" 0 0
"1549" 0 -1
"1550" 1 1
"1551" 1 0
"1552" -1 -1
"1553" 1 1
"1554" 1 1
"1555" 0 0
"1556" 0 0
"1557" 0 0
"1558" 0 0
"1559" 1 1
"1560" 1 1
"1561" 0 0
"1562" 1 1
"1563" 0 0
"1564" 1 1
"1565" 1 1
"1566" 0 0
"1567" 0 0
"1568" 0 0
"1569" -1 -1
"1570" -1 -1
"1571" 0 0
"1572" -1 -1
"1573" 1 1
"1574" 1 1
"1575" -1 -1
"1576" -1 -1
"1577" 0 0
"1578" 1 1
"1579" 0 0
"1580" 1 1
"1581" -1 0
"1582" 1 1
"1583" 0 0
"1584" 1 1
"1585" 1 1
"1586" 0 0
"1587" 0 0
"1588" 0 0
"1589" 0 0
"1590" -1 -1
"1591" -1 -1
"1592" 0 0
"1593" 0 0
"1594" 0 -1
"1595" 0 0
"1596" 0 -1
"1597" 0 0
"1598" 1 1
"1599" 0 0
"1600" 0 0
"1601" 0 0
"1602" 0 0
"1603" 0 0
"1604" 1 1
"1605" 0 0
"1606" -1 -1
"1607" 0 0
"1608" -1 -1
"1609" -1 -1
"1610" -1 -1
"1611" 0 -1
"1612" 0 0
"1613" 0 0
"1614" 1 1
"1615" 1 1
"1616" 0 0
"1617" 0 0
"1618" 1 1
"1619" 1 0
"1620" 0 0
"1621" 1 1
"1622" -1 -1
"1623" 1 1
"1624" -1 -1
"1625" -1 -1
"1626" 1 1
"1627" 0 0
